month,town,flat_type,block,street_name,storey_range,floor_area_sqm,flat_model,lease_commence_date,remaining_lease,resale_price,Full Address,Latitude,Longitude,nearest_bus_stop_distance,nearest_mrt_distance,nearest_mall_distance,nearest_school_distance,bus_stop_count,mrt_count,mall_count,school_count
2017-01,TAMPINES,2 ROOM,299A,TAMPINES ST 22,01 TO 03,45,Model A,2012,94 years 02 months,250000,299A TAMPINES ST 22,1.3500053,103.9539382,74.41344593521245,,,308.6710405680782,13,0,0,4
2017-01,TAMPINES,3 ROOM,403,TAMPINES ST 41,01 TO 03,60,Improved,1985,67 years 09 months,270000,403 TAMPINES ST 41,1.3575116,103.9449179,72.81451530969208,457.9229131224426,369.9592091802005,465.1323194409608,15,1,2,4
2017-01,TAMPINES,3 ROOM,802,TAMPINES AVE 4,04 TO 06,68,New Generation,1984,66 years 05 months,295000,802 TAMPINES AVE 4,1.3460844,103.938034,120.99926311418501,,,203.6824443587146,12,0,0,4
2017-01,TAMPINES,3 ROOM,410,TAMPINES ST 41,01 TO 03,69,Improved,1985,67 years 08 months,300000,410 TAMPINES ST 41,1.3587777,103.9462708,114.1728620203953,,526.4088052628498,315.69422339730426,12,0,1,4
2017-01,TAMPINES,3 ROOM,462,TAMPINES ST 44,07 TO 09,64,Simplified,1987,69 years 06 months,305000,462 TAMPINES ST 44,1.3590132,103.9551111,93.84156832863104,,,229.78695749169717,20,0,0,2
2017-01,TAMPINES,3 ROOM,419,TAMPINES ST 41,07 TO 09,64,Simplified,1985,67 years 11 months,308000,419 TAMPINES ST 41,1.3578325,103.9467269,103.15025102601855,,444.4500228383482,260.75000820966005,15,0,1,4
2017-01,TAMPINES,3 ROOM,827,TAMPINES ST 81,04 TO 06,67,New Generation,1987,69 years 04 months,315000,827 TAMPINES ST 81,1.3497215,103.9337192,30.774206085251947,,,354.88273103942083,21,0,0,4
2017-01,TAMPINES,3 ROOM,105,TAMPINES ST 11,01 TO 03,75,Model A,1982,65 years,318500,105 TAMPINES ST 11,1.3480931,103.9471776,174.2697408259399,,,272.7206566313374,8,0,0,6
2017-01,TAMPINES,3 ROOM,211,TAMPINES ST 23,04 TO 06,67,New Generation,1985,67 years 06 months,320000,211 TAMPINES ST 23,1.3540226,103.9548427,113.35755397672608,,,145.11097746376873,18,0,0,3
2017-01,TAMPINES,3 ROOM,287,TAMPINES ST 22,07 TO 09,74,Model A,1984,66 years 06 months,323000,287 TAMPINES ST 22,1.3491743,103.9542501,82.69558288816927,,,315.1484366172095,11,0,0,3
2017-01,TAMPINES,3 ROOM,467,TAMPINES ST 44,01 TO 03,74,Model A,1987,69 years 04 months,325000,467 TAMPINES ST 44,1.3599685,103.9546659,77.32840329558925,,,164.96327195628933,19,0,0,1
2017-01,TAMPINES,3 ROOM,826,TAMPINES ST 81,01 TO 03,83,New Generation,1987,69 years 05 months,328000,826 TAMPINES ST 81,1.3493396,103.9336108,65.55374495371107,,,364.84383565762636,21,0,0,4
2017-01,TAMPINES,3 ROOM,924,TAMPINES ST 91,04 TO 06,73,Model A,1983,65 years 10 months,329000,924 TAMPINES ST 91,1.346791,103.940777,201.2626583174125,,,138.04335416059425,10,0,0,6
2017-01,TAMPINES,3 ROOM,261,TAMPINES ST 21,04 TO 06,74,Model A,1984,66 years 08 months,333000,261 TAMPINES ST 21,1.3543035,103.9509655,53.29837675958458,,,271.27187921032424,20,0,0,6
2017-01,TAMPINES,3 ROOM,885,TAMPINES ST 83,04 TO 06,74,Model A,1987,69 years 11 months,337000,885 TAMPINES ST 83,1.3510839,103.9329156,81.08543711518473,,,243.98106998635015,20,0,0,4
2017-01,TAMPINES,3 ROOM,806,TAMPINES AVE 4,04 TO 06,73,Model A,1984,66 years 02 months,345000,806 TAMPINES AVE 4,1.3455403,103.9368755,64.4218892624738,,,345.1714038964797,11,0,0,4
2017-01,TAMPINES,3 ROOM,270,TAMPINES ST 21,04 TO 06,79,Model A,1985,67 years 11 months,345000,270 TAMPINES ST 21,1.3496301,103.9486352,73.91321563584452,,534.9281678063734,277.640662634912,13,0,1,7
2017-01,TAMPINES,3 ROOM,828,TAMPINES ST 81,01 TO 03,83,New Generation,1987,69 years 09 months,345000,828 TAMPINES ST 81,1.3489308,103.9345881,100.12769939110797,,,260.6551777473693,19,0,0,6
2017-01,TAMPINES,3 ROOM,810,TAMPINES AVE 4,10 TO 12,73,Model A,1984,66 years 07 months,350000,810 TAMPINES AVE 4,1.3464546,103.9366114,110.50537137473506,,,323.9860689848381,15,0,0,4
2017-01,TAMPINES,3 ROOM,236,TAMPINES ST 21,07 TO 09,73,Model A,1984,66 years 09 months,350000,236 TAMPINES ST 21,1.3559052,103.9474475,76.33513066796614,384.0795107164694,325.7760014421999,216.27693640767805,19,1,2,4
2017-01,TAMPINES,3 ROOM,270,TAMPINES ST 21,07 TO 09,75,Model A,1985,67 years 11 months,355000,270 TAMPINES ST 21,1.3496301,103.9486352,73.91321563584452,,534.9281678063734,277.640662634912,13,0,1,7
2017-01,TAMPINES,3 ROOM,299A,TAMPINES ST 22,07 TO 09,65,Model A,2012,94 years 02 months,355000,299A TAMPINES ST 22,1.3500053,103.9539382,74.41344593521245,,,308.6710405680782,13,0,0,4
